musica,artista,genero,popularidade,danceability,energy,valence,bpm,loudness,status_hit
Phreaky MF - MD RemixX,Mike Dunn,chicago-house,9,0.804,0.697,0.223,125.013,-5.022,Normal
Have It 4 U Babe (feat. Jass Mann) - Extended MixX,Mike Dunn;Jass Mann,chicago-house,8,0.812,0.905,0.889,125.02,-6.865,Normal
Acid Rush - Extended Vokal mixX,Mike Dunn,chicago-house,8,0.787,0.897,0.629,124.992,-10.278,Normal
Spend the Night,Pal Joey,chicago-house,32,0.712,0.59,0.15,121.785,-15.796,Normal
Beautiful People (Underground Network Mix),Barbara Tucker,chicago-house,2,0.761,0.762,0.562,124.04,-7.82,Normal
I Discover,Felix Da Housecat;Chris Trucher,chicago-house,36,0.673,0.895,0.655,126.027,-6.987,Normal
Check Out,Pal Joey,chicago-house,7,0.922,0.308,0.583,98.175,-11.723,Normal
Acid Thunder,Fast Eddie,chicago-house,33,0.772,0.887,0.774,124.185,-9.11,Normal
Dancer,Robert Hood,chicago-house,35,0.895,0.318,0.0785,122.0,-7.992,Normal
Come On,Pal Joey,chicago-house,6,0.637,0.396,0.438,189.895,-16.377,Normal
Making Hits,Pal Joey,chicago-house,5,0.703,0.278,0.34,186.461,-13.249,Normal
ESP,Kenny Larkin,chicago-house,8,0.775,0.838,0.671,139.981,-14.78,Normal
What Does it Feel Like - Royksopp Return To The Sun Remix,Felix Da Housecat;Röyksopp,chicago-house,32,0.798,0.506,0.356,123.001,-9.331,Normal
Michael - Love From San Francisco Dub,Roy Davis Jr.,chicago-house,32,0.879,0.703,0.967,125.006,-9.379,Normal
Wake Me,Kenny Larkin,chicago-house,9,0.824,0.576,0.297,127.017,-9.123,Normal
Here It Is,Pal Joey,chicago-house,7,0.806,0.601,0.776,123.868,-13.054,Normal
Black Mirror,Robert Hood,chicago-house,7,0.725,0.538,0.372,108.013,-13.905,Normal
Protein Valve - Edit 1,Robert Hood,chicago-house,8,0.763,0.88,0.0531,131.076,-8.743,Normal
Track,Kenny Larkin,chicago-house,9,0.552,0.76,0.0898,140.13,-12.784,Normal
Do It Like This,Fast Eddie;Mike Dunn;The Renegades,chicago-house,5,0.91,0.734,0.815,121.742,-7.962,Normal
Somekinda Special,Felix Da Housecat,chicago-house,9,0.74,0.759,0.709,122.765,-13.162,Normal
Playtime,Pal Joey,chicago-house,5,0.786,0.641,0.321,116.954,-7.249,Normal
Analog Track (Ghost),Robert Hood,chicago-house,8,0.787,0.801,0.637,133.082,-12.042,Normal
Tag,Fast Eddie;Mike Dunn;The Renegades,chicago-house,5,0.91,0.881,0.65,124.678,-3.246,Normal
Your Love - Darius Syrossian Remix,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle;Darius Syrossian,chicago-house,8,0.634,0.807,0.367,125.995,-5.693,Normal
Metaphor,Kenny Larkin,chicago-house,8,0.745,0.862,0.56,135.705,-10.854,Normal
Focus - DJ-Kicks,Robert Hood,chicago-house,8,0.723,0.691,0.0365,128.009,-9.929,Normal
Home,Robert Hood,chicago-house,8,0.615,0.896,0.36,137.675,-13.426,Normal
ILL'NOIZE,Felix Da Housecat,chicago-house,8,0.689,0.837,0.844,122.996,-12.272,Normal
Glob - Ben Klock Remix 1,Kenny Larkin;Ben Klock,chicago-house,8,0.854,0.667,0.552,125.008,-12.485,Normal
Androgenous,Kenny Larkin,chicago-house,8,0.817,0.829,0.429,124.008,-10.254,Normal
Ignite A War,Robert Hood,chicago-house,8,0.769,0.613,0.87,130.97,-8.605,Normal
Focus - Mixed,Robert Hood,chicago-house,9,0.68,0.446,0.0388,130.612,-16.186,Normal
The Core,Robert Hood,chicago-house,8,0.753,0.66,0.349,147.898,-18.083,Normal
Vin Rouge,Felix Da Housecat;Blakk Hazel;Dave The Hustler,chicago-house,8,0.563,0.91,0.445,119.965,-9.156,Normal
Motor City,Robert Hood,chicago-house,8,0.797,0.564,0.597,118.043,-13.526,Normal
Wind of Change,Roy Davis Jr.,chicago-house,6,0.692,0.935,0.88,123.999,-6.66,Normal
A System Of Mirrors,Robert Hood,chicago-house,7,0.685,0.697,0.148,129.999,-12.305,Normal
Ready 2 Wear - Dallas Austin Modernaire Mix,Felix Da Housecat;Dallas Austin;Chris Trucher,chicago-house,7,0.609,0.81,0.758,129.996,-6.0,Normal
Neon Flyy feat. Blakk Hazel - Original Mix,Felix Da Housecat;Clarian;Blakk Hazel,chicago-house,8,0.744,0.592,0.687,123.003,-10.207,Normal
Silver Screen Shower Scene - Static Revenger Remix,Felix Da Housecat;Static Revenger,chicago-house,9,0.772,0.76,0.719,125.055,-7.467,Normal
Escapes - Mixed,Robert Hood,chicago-house,8,0.802,0.734,0.274,121.005,-12.962,Normal
Keep on Dancing,Fast Eddie,chicago-house,5,0.785,0.974,0.456,125.767,-6.559,Normal
I Know What You're Thinking - Pt. 2 Mix,Roy Davis Jr.;Jeremy'Ayro'Ellis,chicago-house,6,0.753,0.736,0.931,127.01,-9.042,Normal
Nitelife Funworld,Felix Da Housecat,chicago-house,9,0.645,0.745,0.895,145.946,-9.735,Normal
We Shall Overcome - Richie's Loonie Mix,Kenny Larkin;Richie Hawtin,chicago-house,9,0.679,0.749,0.886,124.281,-7.429,Normal
Defected Presents House Masters - Derrick Carter Mixtape,Derrick Carter,chicago-house,5,0.785,0.884,0.53,123.984,-6.827,Normal
Think (About It) - Spen & Thommy’s Summer Of Dub Trax,Barbara Tucker;DJ Spen;Thommy Davis,chicago-house,8,0.826,0.951,0.277,123.998,-8.81,Normal
Pump Up Chicago - Acid Mix,Mr. Lee,chicago-house,6,0.716,0.676,0.297,125.919,-11.379,Normal
It's House - Jamie's Basement Edit,Chip E.;Jamie 3:26,chicago-house,7,0.974,0.735,0.69,124.663,-10.797,Normal
If You Wanna,Roy Davis Jr.;Terry Dexter,chicago-house,6,0.861,0.671,0.671,120.006,-8.566,Normal
Someday,Roy Davis Jr.,chicago-house,7,0.839,0.517,0.795,110.068,-13.131,Normal
I Wana See Your Body Move,Roy Davis Jr.,chicago-house,6,0.813,0.489,0.962,124.986,-16.126,Normal
House Party - Doe Schite Remix,Aaron Smith;Malik Hart,chicago-house,12,0.694,0.768,0.435,121.962,-4.971,Normal
The Story,Mark Farina;Homero Espinosa,chicago-house,31,0.752,0.722,0.524,98.989,-10.338,Normal
U Are - Gari Bay Rework,Aaron Smith;Monica Villacci,chicago-house,10,0.831,0.422,0.747,126.007,-5.451,Normal
Do What U Like - Dave Aude Club Remix,Bad Boy Bill;Alyssa Palmer;Dave Audé,chicago-house,4,0.81,0.883,0.779,127.99,-6.627,Normal
Dancin - Laidback Luke Remix,Aaron Smith;Luvli,chicago-house,20,0.664,0.848,0.359,129.056,-2.382,Normal
Goin 4 Mine,Pal Joey,chicago-house,5,0.853,0.541,0.679,98.131,-13.719,Normal
Movin Up,Pal Joey,chicago-house,5,0.751,0.428,0.803,91.323,-14.204,Normal
Brothers Theme,Pal Joey,chicago-house,7,0.735,0.524,0.803,190.148,-14.299,Normal
Go Go Go,Pal Joey,chicago-house,5,0.881,0.327,0.459,89.994,-15.568,Normal
Fast Life,Bad Boy Bill;Alex Peace,chicago-house,24,0.801,0.518,0.688,127.018,-5.856,Normal
Mmm Drop,Bad Boy Bill;Steve Smooth,chicago-house,6,0.663,0.954,0.203,128.028,-3.687,Normal
Duly Noted - Original Mix,DJ Skull,chicago-house,5,0.802,0.837,0.661,123.986,-11.634,Normal
Huggin' & A Luvin' - Mike Dunn Luvz Huggin' U ReMixX,Gershon Jackson;Mike Dunn,chicago-house,4,0.842,0.742,0.899,121.01,-5.975,Normal
Dream Machine,Mark Farina;Sean Hayes,chicago-house,31,0.904,0.465,0.688,110.007,-8.222,Normal
Dancin (feat. Luvli) - Philip George Remix,Aaron Smith;Luvli;Philip George,chicago-house,22,0.711,0.551,0.634,124.001,-11.345,Normal
Bang Them Walls,Bad Boy Bill;Gettoblaster;Benjamin Paper,chicago-house,6,0.805,0.733,0.303,124.999,-5.552,Normal
Baddest DJ,Bad Boy Bill,chicago-house,6,0.907,0.717,0.342,124.064,-4.988,Normal
Feel Alive (feat. Seann Bowe),Bad Boy Bill;Steve Smooth;Seann Bowe,chicago-house,6,0.647,0.943,0.264,128.016,-3.652,Normal
Can You Feel It,Bad Boy Bill,chicago-house,5,0.691,0.955,0.0553,128.036,-4.005,Normal
About Love - Solid Groove Remix,Roy Davis Jr.,chicago-house,7,0.882,0.658,0.767,124.997,-7.811,Normal
As One - Original Mix,DJ Skull,chicago-house,5,0.546,0.845,0.157,127.058,-10.976,Normal
Dont Know,Mark Farina,chicago-house,6,0.835,0.75,0.754,123.995,-11.711,Normal
Somebody To Love,Mark Farina;Homero Espinosa,chicago-house,7,0.806,0.666,0.257,123.446,-7.581,Normal
U Don't Stop,Bad Boy Bill,chicago-house,4,0.618,0.978,0.845,126.009,-3.229,Normal
Hustling for Horns,Bad Boy Bill;Gettoblaster,chicago-house,5,0.904,0.907,0.31,124.017,-5.435,Normal
Tomorrow,Pal Joey,chicago-house,5,0.804,0.954,0.385,119.989,-6.321,Normal
Milwaukee Ave. Loft Party,Mark Farina,chicago-house,6,0.893,0.526,0.519,123.987,-8.985,Normal
Dance - Beats Mix,Pal Joey,chicago-house,4,0.873,0.946,0.429,123.958,-11.18,Normal
My Nation - Original Mix,Roy Davis Jr.;Terry Dexter,chicago-house,5,0.803,0.847,0.874,122.0,-9.738,Normal
Time to Jack - Back 2 Jack 2018 Instrumental,Chip E.;Carl Cox,chicago-house,6,0.805,0.939,0.27,127.974,-7.304,Normal
Work Your Body (feat. Jameisha Trice),Bad Boy Bill;Bravo;Jameisha Trice,chicago-house,4,0.703,0.96,0.857,125.002,-2.44,Normal
If I Tell You - Original Mix,Bad Boy Bill,chicago-house,7,0.892,0.751,0.662,120.98,-5.502,Normal
Take It Easy - Eli Escobar Remix,Gershon Jackson;Eli Escobar,chicago-house,5,0.785,0.906,0.515,123.974,-10.132,Normal
Raindance (feat. Rona Ray) - House of Omni Paradox Dubb Mixx,Gershon Jackson;House of Omni;Rona Ray,chicago-house,5,0.89,0.468,0.397,124.974,-10.627,Normal
Come on Feat. XL,Roy Davis Jr.;XL,chicago-house,5,0.756,0.786,0.884,125.014,-8.295,Normal
Don't Stop,Bad Boy Bill,chicago-house,5,0.568,0.907,0.763,122.976,-5.239,Normal
Life Is Like A Circle - Fred Everything Dub,Derrick Carter;Chris Nazuka,chicago-house,6,0.715,0.97,0.534,62.449,-9.53,Normal
Cali Spaces - Kaskade Remix,Mark Farina,chicago-house,6,0.829,0.847,0.725,126.029,-6.883,Normal
Life is Like A Circle - Fred Everything Remix,Derrick Carter;Chris Nazuka,chicago-house,6,0.72,0.748,0.167,122.871,-9.465,Normal
White Girl featuring Benjamin Paper,Bad Boy Bill;Gettoblaster,chicago-house,6,0.807,0.941,0.15,125.011,-4.98,Normal
To Do - Derrick Carter's Farina Experiment,Mark Farina;Kaskade;Derrick Carter,chicago-house,6,0.801,0.831,0.591,127.001,-8.394,Normal
Time To Jack,Chip E.,chicago-house,7,0.813,0.863,0.717,122.93,-8.587,Normal
Broken Machines - Mixed,Roy Davis Jr.,chicago-house,5,0.852,0.579,0.658,128.961,-13.224,Normal
Hands Together - House of Omni Hands Together Extended Club Mix (Mixed),Gershon Jackson;Reset Preset,chicago-house,7,0.602,0.846,0.578,124.562,-7.165,Normal
Dance Shake,Roy Davis Jr.,chicago-house,5,0.861,0.712,0.849,125.003,-8.835,Normal
Work Groove,Mark Farina;Homero Espinosa,chicago-house,5,0.811,0.456,0.375,122.012,-9.76,Normal
Lyrical Trip,Roy Davis Jr.,chicago-house,5,0.8,0.326,0.41,100.055,-13.164,Normal
Transition,Roy Davis Jr.,chicago-house,5,0.714,0.564,0.167,123.098,-10.803,Normal
Midnight Passion,Roy Davis Jr.;C.O.D.,chicago-house,7,0.714,0.783,0.614,126.715,-6.518,Normal
Hands Together (House of Omni Hands Together Extended Club Mix) - Mixed,Gershon Jackson;Reset Preset;Ella,chicago-house,5,0.592,0.885,0.596,124.008,-5.783,Normal
Trust - Mia Dora Remix,Romanthony;Mia Dora,chicago-house,31,0.744,0.76,0.321,119.994,-6.718,Normal
Someday - The House Moguls Remix,Aaron Smith;Alicia Campbell,chicago-house,13,0.725,0.624,0.185,127.0,-9.509,Normal
I Do - Aaron Smith's Original Mix,Aaron Smith;Malik Hart,chicago-house,15,0.696,0.694,0.874,127.022,-5.377,Normal
Hands Together,Gershon Jackson;Reset Preset,chicago-house,35,0.592,0.879,0.638,126.08,-6.273,Normal
Midnight Calling,Mark Farina,chicago-house,26,0.769,0.369,0.597,93.998,-13.277,Normal
Take It Easy - Sonny Fodera & Mat.Joe Remix,Gershon Jackson;Mat.Joe;Sonny Fodera,chicago-house,35,0.949,0.413,0.213,123.991,-7.536,Normal
Dancin (feat. Luvli) - DJ PP Remix,Aaron Smith;DJ PP;Luvli,chicago-house,13,0.828,0.694,0.237,125.001,-11.309,Normal
Life,Mark Farina,chicago-house,22,0.902,0.387,0.712,99.805,-11.181,Normal
Alive - Instrumental,Mark Farina,chicago-house,26,0.64,0.519,0.478,190.051,-10.886,Normal
Funky Music,Bad Boy Bill;Milty Evans;Brian Boncher,chicago-house,5,0.779,0.86,0.232,122.079,-4.609,Normal
Pulse - Original Mix,Aaron Smith,chicago-house,15,0.803,0.956,0.478,123.01,-5.975,Normal
The Massive,Bad Boy Bill,chicago-house,6,0.562,0.882,0.289,129.995,-3.087,Normal
The 187 Skillz,DJ Skull,chicago-house,6,0.577,0.749,0.156,151.049,-14.634,Normal
Acid Wiss L,DJ Skull,chicago-house,7,0.699,0.765,0.47,141.92,-10.522,Normal
I Don't Wanna Stop,Bad Boy Bill,chicago-house,5,0.768,0.692,0.476,126.036,-5.304,Normal
What $ Love - Roman's Remix,Romanthony;Roman,chicago-house,5,0.823,0.708,0.478,120.538,-7.411,Normal
Cold World,Jamie Principle,chicago-house,6,0.766,0.512,0.862,120.88,-17.133,Normal
All I Want,Lidell Townsell;M T F,chicago-house,5,0.804,0.647,0.399,119.384,-11.555,Normal
Feeling Faded,Bad Boy Bill;Nick Risk,chicago-house,6,0.733,0.872,0.488,124.019,-4.032,Normal
Midnight Ride (feat. Robert Owens) [Joyce Muniz Remix] - Edit,Alinka;Robert Owens;Joyce Muniz,chicago-house,6,0.801,0.897,0.388,126.028,-6.116,Normal
Hot Body - Maurice's Underground Mix,Jamie Principle;Maurice Joshua,chicago-house,5,0.801,0.809,0.541,120.008,-8.521,Normal
Ministry of Love - Ejeca Remix,Romanthony;Ejeca,chicago-house,5,0.738,0.557,0.268,124.948,-9.603,Normal
Emotion 2 Emotion,Alinka,chicago-house,5,0.748,0.843,0.286,128.014,-8.09,Normal
Dancin (feat. Luvli) - Patrick Hagenaar Colour Code Remix,Aaron Smith;Luvli;Patrick Hagenaar,chicago-house,21,0.626,0.856,0.386,126.047,-4.634,Normal
Ishy,Bad Boy Bill,chicago-house,7,0.599,0.895,0.569,128.014,-3.658,Normal
Round & Round,Alinka,chicago-house,4,0.842,0.865,0.645,126.034,-8.875,Normal
Too Long - Detroit Swindle Remix,Romanthony;Dam Swindle,chicago-house,6,0.779,0.761,0.531,123.04,-9.786,Normal
Do You Think You Can Love Me - Lookin' Glasgow Remix Vox #40,Romanthony;Nadia,chicago-house,7,0.795,0.733,0.936,110.787,-7.609,Normal
What $ Love (What Price Love) - Roman's Remix,Romanthony;Roman,chicago-house,5,0.823,0.708,0.478,120.538,-7.411,Normal
Like This - Ddd Dub - Short Edit,Chip E.;K-Joy;Lidell Townsel;Kai Alce,chicago-house,6,0.815,0.497,0.67,119.872,-9.933,Normal
Wait,Bad Boy Bill,chicago-house,7,0.759,0.743,0.517,124.985,-5.481,Normal
I Rise - Ryno Remix,Sterling Void;Ryno,chicago-house,4,0.778,0.666,0.765,125.034,-4.428,Normal
Take It Easy - Eli Escobar Remix,Gershon Jackson;Eli Escobar,chicago-house,5,0.785,0.906,0.515,123.974,-10.132,Normal
Bring U Up - Album Version [2015 Remaster],Romanthony,chicago-house,6,0.867,0.585,0.644,121.136,-7.387,Normal
Bring U Up - Barrientos Remix,Romanthony;Barrientos,chicago-house,7,0.807,0.611,0.518,121.023,-8.711,Normal
Cali Spaces - Julius Papp Mix,Mark Farina,chicago-house,5,0.698,0.899,0.721,198.713,-6.693,Normal
Let Me Show You Love - Kevin Mckay Remix,Romanthony;Kevin McKay,chicago-house,6,0.892,0.722,0.141,121.995,-7.478,Normal
It’s Alright (feat. Paris Brightledge) - Mark Knight Remix,Sterling Void;Mark Knight,chicago-house,5,0.607,0.948,0.303,123.981,-4.498,Normal
Bring U Up (Jasper James Remix) - TR405,Romanthony;Jasper James,chicago-house,7,0.806,0.805,0.885,123.05,-10.651,Normal
All Night With You - Extended Club Edit,Bad Boy Bill;Kevin Irving,chicago-house,4,0.699,0.895,0.549,130.027,-3.814,Normal
Happy (feat. Kevin Irving) - Original Mix,Bad Boy Bill;Kevin Irving,chicago-house,5,0.754,0.834,0.32,129.994,-4.968,Normal
Take Me Higher,Virgo Four,chicago-house,6,0.803,0.665,0.193,123.06,-12.304,Normal
It’s Alright (feat. Paris Brightledge) - DJ Spen & Reelsoul Extended Mix,Sterling Void;DJ Spen;Reelsoul,chicago-house,5,0.766,0.729,0.526,123.997,-7.746,Normal
It's Ok - Album Mix,Jesse Saunders,chicago-house,6,0.802,0.798,0.322,118.98,-8.947,Normal
Cosmic Melody,Mark Farina,chicago-house,6,0.84,0.521,0.707,129.539,-8.47,Normal
Let the Music Take Control - House Mix,J.M. Silk,chicago-house,7,0.834,0.875,0.899,119.634,-6.996,Normal
Bringin' It Back - GLA Mix,Mark Farina,chicago-house,6,0.861,0.502,0.748,125.992,-9.792,Normal
Dream Machine - J-Boogie Mix,Mark Farina;J-Boogie,chicago-house,7,0.776,0.682,0.471,109.945,-7.593,Normal
Take It Easy - Sonny Fodera & Mat.Joe Remix (Mixed),Gershon Jackson;Mat.Joe;Sonny Fodera,chicago-house,6,0.858,0.582,0.123,122.422,-7.513,Normal
Come to House,Mr. Lee,chicago-house,29,0.591,0.784,0.688,122.588,-13.84,Normal
On & On - Original Mega,Jesse Saunders,chicago-house,32,0.753,0.702,0.252,121.404,-10.956,Normal
Hold On - Classic Vocal,Romanthony,chicago-house,5,0.667,0.865,0.489,119.79,-5.116,Normal
Titties and Beer,dj funk,chicago-house,7,0.771,0.959,0.43,143.019,-4.775,Normal
Promised Land - Kiko Franco Remix,Joe Smooth;Kiko Franco,chicago-house,31,0.645,0.809,0.0774,124.024,-7.242,Normal
I Am Acid - Original Mix,DJ Pierre,chicago-house,6,0.667,0.946,0.0855,126.01,-7.969,Normal
What $ Love - Supernova Remix,Romanthony;Supernova,chicago-house,6,0.796,0.608,0.307,123.004,-10.196,Normal
Floorpiece - Extended Mix,Romanthony,chicago-house,6,0.835,0.675,0.36,127.747,-6.846,Normal
Ain't it Funky,Fast Eddie,chicago-house,5,0.797,0.941,0.528,123.468,-4.132,Normal
Acid Trax 2011 - 2011 Mix,DJ Pierre;Green Velvet;Phuture,chicago-house,5,0.696,0.991,0.642,127.986,-5.565,Normal
Doggy Style - 20 Fingers Mix,Fast Eddie;20 Fingers,chicago-house,6,0.872,0.959,0.917,128.991,-2.895,Normal
Jack Your Body,J.M. Silk,chicago-house,5,0.798,0.915,0.98,122.068,-7.741,Normal
Vibe Three,Marshall Jefferson,chicago-house,5,0.713,0.691,0.465,119.994,-8.558,Normal
Chicago House Scene - Freaky Mix Silk Extended Edit,"Fast Eddie;Steve ""Silk"" Hurley",chicago-house,6,0.961,0.877,0.365,117.507,-5.38,Normal
Better Than This - Original,Paul Johnson,chicago-house,5,0.753,0.334,0.883,103.99,-16.452,Normal
Acid Pump Up London,Mr. Lee,chicago-house,6,0.829,0.573,0.678,127.746,-13.564,Normal
Pump It - Skip The Bass Mixx,Fast Eddie,chicago-house,5,0.936,0.827,0.963,128.087,-7.689,Normal
Share,Jomanda,chicago-house,7,0.811,0.644,0.909,105.089,-9.144,Normal
It's Alright 2019 - Radio Mix,Sterling Void;ferKKo,chicago-house,6,0.605,0.902,0.768,124.991,-6.537,Normal
Percolator - Keep Movin' Mix,Cajmere,chicago-house,6,0.905,0.961,0.743,125.85,-6.338,Normal
Your Love Is All I Need - Original Mix,Liz Torres,chicago-house,6,0.811,0.699,0.791,116.011,-10.887,Normal
Floorpiece - Extended Mix,Romanthony,chicago-house,5,0.835,0.675,0.358,127.743,-6.846,Normal
Do You Believe - Original Mix,Marshall Jefferson;Full Intention;Sleezy D,chicago-house,6,0.808,0.939,0.517,122.003,-6.807,Normal
Got the Bug,Pierre's Pfantasy Club,chicago-house,5,0.8,0.816,0.853,130.641,-8.641,Normal
Ministry of Love - Kevin Mckay 90s Edit,Romanthony;Kevin McKay,chicago-house,5,0.752,0.753,0.209,121.988,-7.568,Normal
If I Can't Get Down,Mike Dunn,chicago-house,7,0.782,0.669,0.606,125.131,-6.133,Normal
Get U Some More,Fast Eddie,chicago-house,5,0.721,0.981,0.499,124.137,-4.713,Normal
Higher - Steve Silk Hurley Original 12 Inch,"Steve ""Silk"" Hurley;Vernessa Mitchell;Ricky Dillard;New G.",chicago-house,5,0.834,0.805,0.687,123.987,-4.098,Normal
Clap Your Hands,Fast Eddie,chicago-house,7,0.803,0.925,0.0387,123.972,-6.146,Normal
Higher - Steve Silk Hurley Journey To Heaven,"Steve ""Silk"" Hurley;Vernessa Mitchell;Ricky Dillard;New G.",chicago-house,7,0.909,0.816,0.699,123.999,-4.276,Normal
Dance,Jomanda,chicago-house,7,0.866,0.715,0.807,120.353,-11.844,Normal
I Gotta Hold On U - Maurice Joshua Original Mix,Maurice Joshua;Chantay Savage,chicago-house,6,0.798,0.909,0.728,119.666,-4.826,Normal
I Love Shopping,Adonis,chicago-house,7,0.626,0.511,0.279,89.99,-9.595,Normal
I Wanna Let You Know (S&S Remixes) - Steve Silk Hurley S&S Epic Orchestration Edit,"Steve ""Silk"" Hurley;Immaculate Styles;Lisa Shaw",chicago-house,6,0.751,0.863,0.862,123.99,-4.078,Normal
As Always,"Farley ""Jackmaster"" Funk;Ricky Dillard",chicago-house,5,0.616,0.793,0.619,115.413,-7.065,Normal
Funk Makes You Move,Fast Eddie,chicago-house,5,0.755,0.947,0.576,126.052,-7.98,Normal
We Are Family - DJ Spen & Reelsoul Remix,Jesse Saunders;Tasha LaRae;Carla Prather;Kathy Brown;Cassandra Lucas;DJ Spen;Reelsoul,chicago-house,6,0.841,0.768,0.916,124.008,-4.817,Normal
Shadows of Your Love,J.M. Silk,chicago-house,5,0.657,0.9,0.745,119.668,-6.148,Normal
Jack The House,Lidell Townsell,chicago-house,5,0.802,0.8,0.636,124.233,-8.543,Normal
It’s Alright (feat. Paris Brightledge) - DJ Spen & Reelsoul Remix,Sterling Void;DJ Spen;Reelsoul,chicago-house,5,0.777,0.687,0.425,123.993,-7.744,Normal
Bring U Up (feat. The Trojan Horse) - Original Black Male Version,Romanthony;The Trojan Horse,chicago-house,5,0.819,0.743,0.624,125.604,-4.096,Normal
It’s Alright (feat. Paris Brightledge) - Mark Knight Extended Mix,Sterling Void;Mark Knight,chicago-house,5,0.703,0.966,0.253,124.005,-4.632,Normal
U Can't Help but Move,Fast Eddie,chicago-house,5,0.79,0.703,0.968,135.097,-11.263,Normal
I Try,Joe Smooth,chicago-house,5,0.72,0.931,0.866,123.507,-4.577,Normal
Jack the Bass (Jack the Dick),"Farley ""Jackmaster"" Funk",chicago-house,6,0.83,0.98,0.322,124.81,-6.012,Normal
Got a Love for You - Hurley's House Mix,Jomanda,chicago-house,5,0.708,0.603,0.632,119.9,-13.591,Normal
Promised Land - Floorplan Extended Paradise Remix,Joe Smooth;Floorplan,chicago-house,5,0.699,0.855,0.175,124.962,-5.798,Normal
All In Vain - Steve Silk Hurley House Mix,"J.M. Silk;Sampson Butch Moore;Steve ""Silk"" Hurley",chicago-house,5,0.84,0.868,0.966,119.724,-7.038,Normal
Aw Shucks (Let's Go) - Long Version,"Farley ""Jackmaster"" Funk",chicago-house,5,0.956,0.866,0.632,118.429,-5.775,Normal
Promised Land (ASOT 976) - Cosmic Gate's No Gravity Remix,Joe Smooth;Cosmic Gate,chicago-house,5,0.614,0.83,0.0389,126.981,-6.903,Normal
Satisfy - Original Mix,Cajmere;Dajae,chicago-house,21,0.843,0.388,0.719,122.003,-8.248,Normal
It’s Alright,Marshall Jefferson;George Smeddles;Paris Brightledge,chicago-house,40,0.833,0.928,0.912,125.997,-5.17,Normal
I'll Be Your Friend - Original Mix (2011 Remastered Version),Robert Owens,chicago-house,34,0.731,0.859,0.573,121.867,-6.209,Normal
Acid Tracks,Phuture,chicago-house,31,0.792,0.918,0.506,120.438,-14.205,Normal
I Feel Love - 1979 Disco Club Mix,DJ Pierre;Chic Loren,chicago-house,28,0.568,0.853,0.551,125.012,-7.297,Normal
Funky Rhythm,DJ Sneak,chicago-house,5,0.802,0.799,0.322,124.941,-10.603,Normal
Time Marches On - Straight up Mix,Jungle Wonz,chicago-house,7,0.726,0.611,0.465,120.236,-15.896,Normal
Masterplans - Original Mix,Cajmere;Jamie Jones,chicago-house,6,0.755,0.417,0.705,120.981,-9.865,Normal
Love Is Here to Stay - Maurice Joshua Tome Mix,Maurice Joshua;M. Terrel,chicago-house,7,0.801,0.736,0.857,125.004,-9.798,Normal
100% Dissin It,Armando,chicago-house,7,0.892,0.685,0.76,154.9,-4.404,Normal
Downfall,Armando;DJ Pierre,chicago-house,5,0.801,0.699,0.905,120.834,-19.539,Normal
House Illusion - Mixed,Paul Johnson,chicago-house,5,0.803,0.864,0.504,129.918,-8.205,Normal
Phuture Jacks,Phuture,chicago-house,5,0.747,0.377,0.367,120.8,-20.66,Normal
I Can't Forget - Vocal,Mr. Lee,chicago-house,7,0.714,0.625,0.693,121.78,-14.395,Normal
Conflict,Cajmere,chicago-house,5,0.857,0.503,0.44,127.947,-12.762,Normal
Move Yo Body - Original Mix,Cajmere;Sounfx,chicago-house,6,0.811,0.794,0.376,120.016,-10.299,Normal
Slam,Phuture,chicago-house,5,0.668,0.614,0.33,126.561,-14.337,Normal
Percolator (Will Clarke Remix) - Original Mix,Cajmere;Will Clarke,chicago-house,7,0.781,0.885,0.375,125.98,-8.531,Normal
Devotion - Radio Mix,Ten City,chicago-house,5,0.706,0.842,0.768,120.46,-8.506,Normal
A Love of My Own,Fingers Inc.,chicago-house,7,0.706,0.828,0.619,129.963,-4.588,Normal
Your Only Friend,Phuture,chicago-house,5,0.916,0.827,0.526,117.234,-8.373,Normal
100% of Disin' You - Mike Dunn's Houze Mixx,Armando,chicago-house,7,0.811,0.631,0.593,127.487,-13.117,Normal
Some Oza Shit,DJ Sneak;Tripmastaz;RareTwo Inc.,chicago-house,7,0.847,0.976,0.423,125.001,-5.969,Normal
Blackholes - The Sun Of God Remix,Steve Poindexter;Armando,chicago-house,6,0.884,0.447,0.292,128.066,-12.79,Normal
Do Yo Thang - Original Mix,Cajmere;Free Magic,chicago-house,7,0.803,0.679,0.346,119.999,-9.98,Normal
Mushrooms - Frits Wentink Remix,Marshall Jefferson;Noosa Heads;Frits Wentink,chicago-house,4,0.849,0.597,0.452,121.025,-10.738,Normal
Let's Do This - Big Saldo Remix,Fast Eddie;Big Saldo,chicago-house,7,0.804,0.961,0.379,125.004,-5.966,Normal
I Gotta Hold On U - Steve Silk Hurley Vocal Mix,"Maurice Joshua;Chantay Savage;Steve ""Silk"" Hurley",chicago-house,7,0.823,0.884,0.327,119.92,-5.27,Normal
Phuture Jacks,Phuture,chicago-house,4,0.765,0.559,0.289,118.872,-14.452,Normal
Back & Forth (feat. KE) - Mixed,DJ Sneak;Jesse Perez;KE,chicago-house,5,0.671,0.977,0.872,121.046,-5.192,Normal
